title,description,image,link,price,availability,brand,gtin,mpn,condition,google_product_category,product_type,shipping,identifier_exists
Product 1,This is the first product description.,https://example.com/product1.jpg,https://example.com/product1,19.99 USD,in stock,Brand 1,1234567890123,MPN123,new,Apparel & Accessories > Clothing > Shirts & Tops,Shirt,US::Ground:0.00 USD,yes
Product 2,This is the second product description.,https://example.com/product2.jpg,https://example.com/product2,29.99 USD,in stock,Brand 2,9876543210987,MPN456,new,Electronics > Cameras & Optics > Cameras > Digital Cameras,Digital Camera,US::Ground:0.00 USD,yes
Product 3,This is the third product description.,https://example.com/product3.jpg,https://example.com/product3,39.99 USD,in stock,Brand 3,5555555555555,MPN789,new,Home & Garden > Kitchen & Dining > Cookware & Bakeware,Cookware Set,US::Ground:0.00 USD,yes
Product 4,This is the fourth product description.,https://example.com/product4.jpg,https://example.com/product4,49.99 USD,in stock,Brand 4,1111111111111,MPN101,new,Electronics > Headphones,Wireless Headphones,US::Ground:0.00 USD,yes
Product 5,This is the fifth product description.,https://example.com/product5.jpg,https://example.com/product5,59.99 USD,in stock,Brand 5,2222222222222,MPN202,new,Electronics > Smartphones,Smartphone,US::Ground:0.00 USD,yes
Product 6,This is the sixth product description.,https://example.com/product6.jpg,https://example.com/product6,69.99 USD,in stock,Brand 6,3333333333333,MPN303,new,Electronics > Laptops,Laptop,US::Ground:0.00 USD,yes
Product 7,This is the seventh product description.,https://example.com/product7.jpg,https://example.com/product7,79.99 USD,in stock,Brand 7,4444444444444,MPN404,new,Toys & Games > Action Figures,Action Figure,US::Ground:0.00 USD,yes
Product 8,This is the eighth product description.,https://example.com/product8.jpg,https://example.com/product8,89.99 USD,in stock,Brand 8,5555555555555,MPN505,new,Apparel & Accessories > Clothing > Pants,Pants,US::Ground:0.00 USD,yes
Product 9,This is the ninth product description.,https://example.com/product9.jpg,https://example.com/product9,99.99 USD,in stock,Brand 9,6666666666666,MPN606,new,Electronics > Speakers,Bluetooth Speaker,US::Ground:0.00 USD,yes
Product 10,This is the tenth product description.,https://example.com/product10.jpg,https://example.com/product10,109.99 USD,in stock,Brand 10,7777777777777,MPN707,new,Home & Garden > Kitchen & Dining > Small Appliances > Blenders,Blender,US::Ground:0.00 USD,yes
